pseudocode,building_status,no_building_blocks,pucca_building_blocks,boundary_wall,total_class_rooms,other_rooms,classrooms_in_good_condition,classrooms_needs_minor_repair,classrooms_needs_major_repair,separate_room_for_hm,total_boys_toilet,total_boys_func_toilet,total_girls_toilet,total_girls_func_toilet,total_boys_cwsn_toilet,func_boys_cwsn_friendly,total_girls_cwsn_toilet,func_girls_cwsn_friendly,urinal_boys,urinal_girls,handwash_near_toilet,hand_pump_yn,well_prot_yn,tap_yn,othsrc_yn,well_unprot_yn,pack_water_yn,hand_pump_fun_yn,well_prot_fun_yn,tap_fun_yn,othsrc_fun_yn,well_unprot_fun_yn,pack_water_fun_yn,rain_water_harvesting,handwash_facility_for_meal,electricity_availability,solar_panel,library_availability,book_bank,reading_corner,playground_available,playground_alt_yn,medical_checkups,availability_ramps,availability_of_handrails,furniture_availability,phy_lab_cond,chem_lab_cond,bio_lab_cond,math_lab_cond,lang_lab_cond,geo_lab_cond,home_sc_lab_cond,psycho_lab_cond,comp_lab_cond,comp_ict_lab_yn,ict_lab_yn,laptop,tablet,desktop,digiboard,teachdev_tot,server_tot,smart_class_tv_tot,projector,printer,internet,dth,spl_educator_yn
7816701,2,4,2,1,8,11,8,0,0,1,2,2,2,2,1,1,1,1,1,1,1,2,2,1,1,2,2,9,9,1,1,9,9,1,1,1,2,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,1,9,2,0,1,0,0,1,0,0,1,1,2,3
8943063,2,1,1,1,9,7,9,0,0,1,5,5,3,3,1,1,1,1,4,4,1,2,2,1,1,2,1,9,9,1,1,9,1,1,1,1,1,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,1,9,2,1,8,0,4,1,1,1,1,1,1,1
2218679,3,1,1,1,15,4,15,0,0,1,6,6,0,0,1,1,0,0,12,0,1,2,2,1,2,2,2,9,9,1,9,9,9,1,1,1,2,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,2,9,0,0,6,40,0,0,0,0,1,1,2,1
9416082,1,2,2,1,10,15,10,0,0,1,2,2,2,2,1,1,1,1,4,4,1,2,2,1,2,2,2,9,9,1,9,9,9,1,1,1,2,1,2,2,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,1,9,6,0,7,0,8,1,10,4,1,1,2,1
7151918,2,1,1,1,16,5,16,0,0,1,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,9,9,1,9,9,9,1,1,1,2,1,2,2,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,2,9,1,0,1,0,0,0,0,1,0,1,2,3
4207931,1,1,1,1,13,22,13,0,0,1,3,3,3,3,2,2,2,2,5,5,1,2,2,1,2,2,2,9,9,1,9,9,9,1,1,1,2,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,1,9,2,0,15,0,4,0,0,4,2,1,2,3
6688380,1,1,1,1,20,7,20,0,0,1,3,3,2,2,1,1,1,1,4,3,1,2,2,1,2,2,1,9,9,1,9,9,1,1,1,1,2,1,2,1,1,9,1,1,2,1,0,0,0,0,0,0,0,0,0,1,9,2,0,12,0,0,1,2,2,2,1,2,1
6921774,1,1,1,1,47,17,47,0,0,1,15,15,20,20,5,5,5,5,30,5,1,1,2,1,2,2,2,1,9,1,9,9,9,1,1,1,2,1,1,1,1,9,1,1,1,1,1,1,1,1,2,1,2,1,1,1,9,5,2,67,0,12,1,12,12,6,1,1,1
5799779,3,1,1,1,7,5,7,0,0,1,0,0,6,6,0,0,3,3,0,6,1,2,2,1,2,2,2,9,9,1,9,9,9,1,1,1,2,1,1,1,1,9,1,1,1,1,4,4,4,2,2,4,4,4,4,1,2,1,0,1,0,0,0,0,0,1,1,2,3
5403378,1,1,1,1,28,11,28,0,0,1,12,12,12,12,1,1,1,1,12,12,1,2,2,1,2,2,2,9,9,1,9,9,9,1,1,1,1,1,1,1,1,9,1,1,1,1,1,1,1,4,4,4,4,4,1,1,9,4,0,20,0,18,1,1,1,5,1,2,1
4572069,1,1,1,1,52,20,52,0,0,1,16,16,16,16,1,1,1,1,17,17,1,2,2,1,2,2,1,9,9,1,9,9,1,1,1,1,1,1,1,1,1,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,1,0,87,0,15,0,41,29,16,1,1,1
6147060,1,1,1,1,32,10,32,0,0,1,14,14,14,14,2,2,2,2,16,16,1,2,2,1,2,2,2,9,9,1,9,9,9,1,1,1,1,1,1,1,1,9,1,1,1,1,4,4,4,1,4,4,4,1,1,1,9,5,0,55,0,0,0,27,2,6,1,1,1
6479793,3,1,1,1,37,31,37,0,0,1,16,16,0,0,4,4,0,0,25,0,1,2,2,1,2,2,2,9,9,1,9,9,9,1,1,1,2,1,2,1,1,9,1,1,1,1,4,4,4,4,4,4,4,4,4,1,1,0,33,16,0,10,1,1,2,4,1,2,1
1801108,2,1,1,1,5,4,5,0,0,1,1,1,1,1,1,1,1,1,6,3,1,2,2,1,2,2,2,9,9,1,9,9,9,1,1,1,2,1,2,2,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,1,9,0,3,5,0,0,0,0,0,1,1,2,1
6825880,3,4,1,1,23,3,17,6,0,1,0,0,10,10,0,0,1,1,0,6,1,2,2,1,1,2,2,9,9,1,1,9,9,1,1,1,1,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,2,9,0,20,1,0,0,1,1,1,1,1,2,1
9431017,2,1,1,1,20,10,20,0,0,1,14,14,6,6,16,16,6,6,16,6,1,2,2,1,2,2,2,9,9,1,9,9,9,1,1,1,2,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,1,9,4,2,5,0,1,1,3,0,2,1,1,1
5037309,2,1,1,1,20,25,12,8,0,1,4,4,5,5,1,1,1,1,4,5,1,2,2,1,2,2,2,9,9,1,9,9,9,1,1,1,2,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,1,9,1,0,5,0,2,0,0,1,3,1,2,2
5571545,3,2,2,1,16,8,10,6,0,1,4,4,0,0,1,1,0,0,7,0,1,2,1,1,2,2,2,9,1,1,9,9,9,1,1,1,1,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,1,9,0,3,2,0,0,0,4,2,1,1,1,1
6973578,3,1,1,1,5,9,0,1,4,1,2,2,1,1,1,1,1,1,2,2,1,2,2,1,2,2,2,9,9,1,9,9,9,1,1,1,1,1,2,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,1,9,0,0,6,0,1,0,1,0,1,1,2,1
3408921,3,3,3,1,12,1,12,0,0,1,0,0,7,7,0,0,7,7,0,7,1,2,2,1,2,2,2,9,9,1,9,9,9,1,1,1,2,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,2,9,0,0,1,0,0,0,0,0,1,1,2,1
4073608,3,1,1,1,9,6,9,0,0,1,4,4,4,4,1,1,1,1,6,3,1,2,2,1,2,2,2,9,9,1,9,9,9,1,1,1,3,1,2,1,2,2,1,1,2,1,0,0,0,0,0,0,0,0,0,1,2,0,0,11,0,0,0,0,0,1,1,2,1
8329969,3,1,0,1,10,26,0,0,10,1,3,3,3,3,1,1,1,1,4,4,1,2,2,1,2,2,2,9,9,1,9,9,9,1,1,1,2,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,2,9,0,4,4,0,0,0,1,1,1,1,1,1
3489281,3,1,1,1,12,6,12,0,0,1,0,0,13,13,0,0,13,13,0,13,1,1,2,1,2,2,2,1,9,1,9,9,9,1,1,1,1,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,1,9,0,1,6,0,0,1,1,0,1,1,2,1
1409889,1,2,1,1,5,4,5,0,0,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,2,2,9,9,1,9,9,9,1,1,1,2,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,1,9,0,0,1,0,0,0,0,0,0,1,2,3
7729934,2,1,1,1,5,4,5,0,0,1,2,2,2,2,1,1,1,1,2,2,1,2,2,1,2,2,2,9,9,1,9,9,9,1,1,1,2,1,2,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,1,9,0,0,1,0,0,0,0,0,0,1,2,3
9573928,2,1,1,1,7,3,7,0,0,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,2,2,9,9,1,9,9,9,1,1,1,2,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,2,9,0,0,1,0,0,0,0,0,1,1,2,3
2916384,1,1,1,1,5,4,5,0,0,1,2,2,3,3,1,1,1,1,4,3,1,2,2,1,1,2,2,9,9,1,1,9,9,1,1,1,2,1,2,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,1,9,1,0,6,0,0,0,1,1,1,1,2,3
5063868,2,1,1,1,8,4,8,0,0,1,3,3,3,3,1,1,1,1,3,3,1,2,2,1,2,2,2,9,9,1,9,9,9,1,1,1,2,1,2,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,1,9,1,0,20,0,0,0,2,2,1,1,2,3
2644348,3,4,4,1,77,25,77,0,0,1,24,24,0,0,1,1,0,0,36,0,1,2,2,1,2,2,2,9,9,1,9,9,9,1,1,1,2,1,2,2,1,9,1,1,1,1,4,4,4,4,4,2,4,4,4,1,1,0,0,10,0,0,0,1,2,3,1,2,1
9955530,3,6,6,1,47,22,47,0,0,1,28,20,0,0,2,2,0,0,28,0,1,2,2,1,2,2,2,9,9,1,9,9,9,1,1,1,1,1,1,1,1,9,1,1,1,1,4,4,4,4,4,1,4,4,4,1,1,0,57,5,0,3,0,0,2,5,1,2,1
3902818,2,4,0,1,42,21,42,0,0,1,8,8,12,12,1,1,1,1,12,12,1,1,2,1,2,2,1,1,9,1,9,9,1,1,1,1,2,1,2,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,1,9,1,0,27,0,2,2,1,1,2,1,2,1
9136055,1,1,0,1,17,8,17,0,0,1,3,3,3,3,1,1,1,1,4,4,1,2,2,1,1,2,1,9,9,1,1,9,1,1,1,1,2,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,2,2,0,0,4,0,0,0,0,0,2,1,1,2
7907844,3,4,4,1,22,30,18,4,0,1,8,8,8,8,1,1,1,1,11,3,1,1,2,1,2,2,2,1,9,1,9,9,9,1,1,1,2,1,2,1,1,9,1,1,1,1,4,4,4,2,4,4,4,4,1,1,1,0,28,13,0,0,1,3,0,3,1,2,1
3408346,3,5,2,1,70,28,70,0,0,1,30,30,47,47,1,1,2,2,26,14,1,2,2,1,2,2,2,9,9,1,9,9,9,1,1,1,2,1,1,1,1,9,1,1,1,1,4,4,4,1,1,4,1,4,1,1,1,0,95,15,0,11,0,0,3,5,1,1,1
7364652,3,1,1,1,7,2,7,0,0,1,4,4,0,0,1,1,0,0,4,0,1,2,2,1,2,2,2,9,9,1,9,9,9,1,1,1,1,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,1,9,0,20,1,0,2,0,2,2,1,1,1,1
7371450,1,1,1,1,7,9,7,0,0,1,3,3,3,3,1,1,1,1,3,3,1,2,2,1,2,2,2,9,9,1,9,9,9,1,1,1,2,1,1,1,1,9,1,1,2,1,0,0,0,0,0,0,0,0,0,1,9,2,1,2,0,1,1,0,0,1,1,1,2
2302795,1,2,2,1,7,6,7,0,0,1,2,2,2,2,1,1,1,1,2,2,1,2,2,1,2,2,2,9,9,1,9,9,9,1,1,1,2,1,2,2,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,1,9,0,0,6,0,6,0,1,0,1,1,1,3
3088713,1,1,1,1,22,5,22,0,0,1,5,5,5,5,1,1,1,1,2,5,1,2,2,1,2,2,2,9,9,1,9,9,9,2,1,1,2,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,1,9,0,0,5,0,5,1,1,1,1,1,2,1
7060115,1,1,1,1,12,5,12,0,0,1,3,3,3,3,1,1,1,1,3,3,1,2,2,1,1,2,2,9,9,1,1,9,9,1,1,1,2,1,2,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,2,9,1,1,2,0,0,0,0,0,1,1,2,3
5101510,3,1,1,1,11,3,11,0,0,1,6,6,6,6,3,3,1,1,9,3,1,2,2,1,2,2,2,9,9,1,9,9,9,1,1,1,2,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,2,9,0,0,1,0,0,0,1,1,1,1,2,1
7182528,3,1,1,1,6,7,6,0,0,1,3,3,3,3,3,3,3,3,3,3,1,2,2,1,2,2,2,9,9,1,9,9,9,1,1,1,1,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,1,9,0,0,5,0,0,0,1,0,1,1,2,3
1830406,3,1,1,1,6,1,6,0,0,1,8,8,8,8,1,1,1,1,6,9,1,2,2,1,2,2,2,9,9,1,9,9,9,1,1,1,1,1,2,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,2,9,0,1,1,0,1,0,1,0,2,1,2,1
5173525,3,3,3,1,6,2,6,0,0,1,3,3,6,6,1,1,1,1,4,7,1,2,2,1,1,2,2,9,9,1,1,9,9,1,1,1,2,1,2,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,2,9,0,0,1,0,0,0,0,0,1,1,2,2
1860360,3,1,1,1,16,5,16,0,0,1,10,10,0,0,4,4,0,0,6,0,1,1,2,1,2,2,2,1,9,1,9,9,9,1,1,1,2,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,1,9,0,0,1,0,0,0,0,0,1,1,2,3
5023798,3,1,1,1,6,4,4,2,0,1,1,1,1,1,1,1,1,1,2,2,1,2,2,1,2,2,2,9,9,1,9,9,9,1,1,1,2,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,1,2,0,0,11,1,10,0,1,0,1,1,2,1
8405901,3,1,1,1,12,7,12,0,0,1,9,9,0,0,1,1,0,0,9,0,1,2,2,1,2,2,2,9,9,1,9,9,9,1,1,1,2,1,1,1,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,1,9,0,0,1,0,11,0,3,3,1,1,2,1
2101768,3,2,2,1,19,4,18,1,0,1,9,9,23,23,3,3,2,2,16,24,1,2,2,1,2,2,2,9,9,1,9,9,9,1,1,1,1,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,1,9,0,3,2,5,0,0,1,1,1,1,1,1
6679371,3,2,2,1,6,1,6,0,0,1,6,6,7,7,1,1,1,1,5,8,1,2,2,1,2,2,2,9,9,1,9,9,9,1,1,1,2,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,2,9,0,0,1,0,0,0,0,0,1,1,1,1
2672141,3,1,1,1,2,1,2,0,0,2,3,3,3,3,1,1,1,1,5,0,1,2,2,1,1,2,2,9,9,1,1,9,9,1,1,1,2,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,2,9,0,0,1,0,0,0,0,0,1,1,2,1
3433638,2,1,1,1,9,9,9,0,0,1,3,3,3,3,1,1,1,1,7,6,1,2,2,1,2,2,2,9,9,1,9,9,9,1,1,1,2,1,2,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,2,9,1,1,1,0,0,0,0,1,0,1,2,2
2654633,2,1,1,1,6,3,6,0,0,1,2,2,2,2,1,1,1,1,2,2,1,2,2,1,2,2,2,9,9,1,9,9,9,1,1,1,2,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,1,9,1,0,1,0,1,0,0,0,1,1,2,3
4194507,3,2,2,1,24,10,10,14,0,1,6,2,0,0,1,1,0,0,12,0,1,1,2,1,2,2,2,1,9,1,9,9,9,1,1,1,2,1,2,2,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,1,9,0,0,11,0,0,1,1,1,1,1,2,2
8653215,2,1,1,1,10,7,10,0,0,1,2,2,2,2,1,1,1,1,1,1,1,1,2,1,2,2,2,1,9,1,9,9,9,1,1,1,1,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,1,9,0,0,2,3,0,0,1,0,1,1,1,1
7768790,2,1,1,1,10,9,10,0,0,1,3,3,3,3,3,3,3,3,6,6,1,2,2,1,2,2,2,9,9,1,9,9,9,2,1,1,2,1,2,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,1,9,1,0,6,0,2,0,1,1,2,1,1,3
5105737,2,1,1,1,24,8,24,0,0,1,6,6,6,6,1,1,1,1,4,0,1,2,2,1,2,2,2,9,9,1,9,9,9,1,1,1,2,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,1,9,2,0,22,0,2,0,6,2,2,1,1,2
8162314,1,4,4,1,63,20,63,0,0,1,11,11,9,9,1,1,1,1,4,4,1,2,2,1,1,2,1,9,9,1,1,9,1,1,1,1,2,1,1,1,1,9,1,1,1,1,1,1,1,1,4,4,4,4,1,1,2,0,0,45,0,9,0,8,4,6,1,1,3
7885351,3,2,2,1,38,13,38,0,0,1,12,12,0,0,1,1,0,0,16,0,1,2,2,1,2,2,2,9,9,1,9,9,9,1,1,1,2,1,1,1,1,9,1,1,1,1,1,1,1,2,4,4,4,4,2,1,1,1,55,10,0,1,0,1,5,3,1,2,1
7812522,3,1,0,1,41,7,41,0,0,1,0,0,32,32,0,0,8,8,0,24,1,1,2,1,2,2,2,1,9,1,9,9,9,1,1,1,2,1,1,1,1,9,1,1,1,1,4,4,4,4,4,4,1,4,1,1,1,0,69,20,1500,11,1,3,3,5,1,1,1
8566255,3,4,4,1,33,24,33,0,0,1,15,15,0,0,2,2,0,0,17,0,1,2,2,1,2,2,2,9,9,1,9,9,9,1,1,1,2,1,1,1,1,9,1,1,1,1,4,4,4,4,4,2,4,4,1,1,1,1,55,13,0,0,1,0,2,3,1,2,1
5091036,2,1,1,1,10,12,10,0,0,1,3,3,4,4,1,1,1,1,4,5,1,2,2,1,2,2,2,9,9,1,9,9,9,1,1,1,2,1,2,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,1,9,1,0,5,0,0,0,0,1,1,1,1,3
6720379,2,2,2,1,25,33,25,0,0,1,6,6,6,6,1,1,1,1,6,6,1,2,2,1,2,2,2,9,9,1,9,9,9,1,1,1,2,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,1,9,1,0,13,0,12,0,4,4,2,1,1,3
7994266,2,3,3,1,67,16,67,0,0,1,19,19,19,19,2,2,2,2,21,21,1,2,2,1,1,2,2,9,9,1,1,9,9,1,1,1,1,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,1,9,0,0,39,0,0,0,0,9,3,1,1,1
1682470,1,1,1,1,58,12,58,0,0,1,15,15,24,24,1,1,1,1,52,24,1,2,2,1,2,2,2,9,9,1,9,9,9,1,1,1,1,1,1,1,1,9,1,1,1,1,1,1,1,1,1,1,4,4,1,1,9,5,0,117,0,64,3,58,64,7,1,1,1
8628216,1,2,2,1,23,18,23,0,0,1,17,17,0,0,1,1,0,0,11,0,1,2,2,1,2,2,2,9,9,1,9,9,9,1,1,1,2,1,1,1,1,9,1,1,1,1,2,2,2,2,4,4,4,4,1,1,1,0,0,3,0,0,0,0,1,2,1,2,3
4929616,1,1,1,1,21,15,18,3,0,1,9,9,0,0,1,1,0,0,14,0,1,2,2,1,2,2,1,9,9,1,9,9,1,1,1,1,2,1,2,1,1,9,1,1,1,1,1,1,1,1,4,4,4,4,3,1,1,0,0,3,0,0,0,1,1,1,1,2,3
5337431,3,4,1,1,44,22,44,0,0,1,25,25,0,0,1,1,0,0,20,0,1,2,2,1,2,2,2,9,9,1,9,9,9,1,1,1,2,1,1,1,1,9,1,1,1,1,1,1,1,1,1,4,4,4,4,1,1,1,55,15,0,4,1,0,3,5,1,2,1
4777357,3,1,1,1,55,13,55,0,0,1,0,0,64,64,0,0,10,10,0,74,1,2,2,1,2,2,2,9,9,1,9,9,9,1,1,1,1,1,1,1,1,9,1,1,1,1,1,1,1,1,1,4,1,4,1,1,1,3,112,11,0,2,2,3,2,3,1,2,1
8820640,3,2,1,1,28,10,28,0,0,1,12,12,1,1,1,1,1,1,13,1,1,2,2,1,2,2,2,9,9,1,9,9,9,1,1,1,2,1,2,1,1,9,1,1,1,1,4,4,4,4,4,4,4,4,1,1,1,0,28,4,0,4,1,1,1,4,1,2,1
2323039,3,3,1,1,41,48,28,0,13,1,14,14,20,20,2,2,3,3,16,23,1,1,1,1,2,2,2,1,1,1,9,9,9,1,1,1,1,1,2,1,1,9,1,1,1,1,4,4,4,4,4,4,1,4,1,1,1,0,70,6,0,3,1,1,3,4,1,2,1
8257633,3,2,2,1,20,6,20,0,0,1,9,9,0,0,1,1,0,0,5,0,1,2,2,1,2,2,2,9,9,1,9,9,9,1,1,1,2,1,1,1,1,9,1,1,1,1,4,4,4,4,4,4,1,4,2,1,1,0,35,3,0,0,0,1,0,2,1,2,1
3294719,1,1,1,1,110,51,110,0,0,1,50,50,52,52,1,1,1,1,110,53,1,2,2,1,2,2,2,9,9,1,9,9,9,1,1,1,2,1,1,1,1,9,1,1,1,1,1,1,1,1,1,4,4,1,1,1,9,6,1,213,0,5,1,56,36,25,1,1,1
1963618,3,2,0,1,8,3,8,0,0,1,1,1,1,1,1,1,1,1,2,1,1,2,2,1,2,2,2,9,9,1,9,9,9,1,1,1,2,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,1,9,0,0,4,0,0,0,1,0,1,1,2,2
7910695,3,3,3,1,33,7,23,10,0,1,0,0,19,19,0,0,4,4,0,23,1,2,2,1,1,2,2,9,9,1,1,9,9,1,1,1,1,1,1,1,1,9,1,1,1,2,0,0,0,0,0,0,0,0,0,1,9,0,0,1,0,0,1,0,0,2,1,2,1
6771004,3,2,2,1,10,32,10,0,0,1,4,4,0,0,1,1,0,0,4,0,1,2,2,1,2,2,2,9,9,1,9,9,9,1,1,1,1,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,2,2,0,1,2,0,0,0,1,0,2,1,1,1
3769457,3,1,1,1,7,6,7,0,0,1,2,2,2,2,1,1,1,1,3,3,1,2,2,1,2,2,2,9,9,1,9,9,9,1,1,1,1,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,2,9,0,0,1,0,0,0,1,1,2,1,2,2
3399026,1,2,2,1,11,7,11,0,0,1,2,2,2,2,1,1,1,1,3,3,1,2,1,1,2,2,2,9,1,1,9,9,9,1,1,1,2,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,1,9,0,0,4,0,4,1,0,0,1,1,2,3
6127324,1,1,1,1,5,1,5,0,0,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,2,2,9,9,1,9,9,9,1,1,1,2,1,2,2,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,2,9,0,0,3,0,0,0,0,0,0,1,2,3
4895567,2,1,1,1,22,10,22,0,0,1,9,9,7,7,2,2,2,2,3,7,1,1,1,1,1,2,1,1,1,1,1,9,1,1,1,1,1,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,1,9,2,1,24,200,2,2,2,2,2,1,1,1
8912655,2,1,1,1,8,8,8,0,0,1,3,3,3,3,1,1,1,1,4,4,1,2,2,1,2,2,2,9,9,1,9,9,9,1,1,1,2,1,2,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,2,9,0,0,4,0,0,0,0,0,0,1,2,3
2235372,3,1,1,1,13,11,13,0,0,1,0,0,10,10,0,0,1,1,0,11,1,2,2,1,1,2,1,9,9,1,1,9,1,1,1,1,2,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,1,9,1,0,12,0,0,1,0,1,1,1,2,2
6517678,1,3,3,1,10,9,0,10,0,1,2,2,2,2,1,1,1,1,2,3,1,1,2,1,2,2,2,1,9,1,9,9,9,1,1,1,2,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,1,2,0,0,11,0,0,1,0,1,1,1,1,3
6521567,2,1,1,1,10,8,10,0,0,1,1,1,2,2,1,1,1,1,3,1,1,2,2,1,2,2,2,9,9,1,9,9,9,1,1,1,2,1,2,1,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,2,9,1,0,3,0,0,1,0,0,2,1,2,3
6992349,2,1,1,1,5,15,5,0,0,1,6,6,7,7,1,1,1,1,7,7,1,2,2,1,1,2,2,9,9,1,1,9,9,1,1,1,2,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,1,9,0,0,3,0,0,0,1,2,1,1,2,3
8755238,2,1,1,1,5,7,5,0,0,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,2,9,9,1,1,9,9,2,1,1,1,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,1,9,1,0,1,1,0,0,1,0,0,1,1,2
3654014,2,1,1,1,10,6,10,0,0,1,4,4,4,4,2,2,2,2,6,6,1,2,2,1,2,2,2,9,9,1,9,9,9,1,1,1,2,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,1,9,1,1,12,0,1,0,2,2,1,1,1,3
3524660,2,1,1,1,5,6,5,0,0,1,2,2,2,2,1,1,1,1,2,2,1,2,2,1,2,2,2,9,9,1,9,9,9,1,1,1,1,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,1,9,1,1,5,0,0,0,0,0,1,1,2,1
4092498,1,2,2,1,42,20,42,0,0,1,15,15,14,14,1,1,1,1,19,20,1,2,2,1,2,2,2,9,9,1,9,9,9,1,1,1,2,1,1,1,1,9,1,1,1,1,1,1,1,1,1,4,4,1,1,1,9,0,0,107,0,0,1,21,3,10,1,2,1
5574004,3,4,0,1,39,17,24,13,2,1,13,13,0,0,1,1,0,0,10,0,1,2,2,1,1,2,2,9,9,1,1,9,9,1,1,1,1,1,1,1,1,9,1,1,1,1,1,1,1,4,4,4,4,4,1,1,1,0,69,6,0,11,1,0,4,4,1,2,1
6448397,1,4,4,1,11,22,11,0,0,1,2,2,2,2,1,1,1,1,3,3,1,2,2,1,2,2,2,9,9,1,9,9,9,3,1,1,2,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,1,9,11,0,10,0,0,1,1,1,1,1,2,3
8534684,3,1,0,1,15,7,15,0,0,1,13,13,13,13,1,1,1,1,13,13,1,2,2,1,2,2,2,9,9,1,9,9,9,1,1,1,2,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,7,3,0,0,0,0,0,2,1,2,1
6921835,1,1,1,1,47,25,47,0,0,1,8,8,8,8,1,1,1,1,12,12,1,2,2,1,2,2,2,9,9,1,9,9,9,1,1,1,2,1,1,1,1,9,1,1,1,1,1,1,1,1,4,4,4,4,1,1,9,1,0,45,0,45,2,40,42,24,1,2,1
1550822,1,4,4,1,18,6,18,0,0,1,12,12,0,0,1,1,0,0,17,0,1,2,2,1,2,2,2,9,9,1,9,9,9,1,1,1,1,1,1,1,2,1,1,1,1,1,4,4,4,2,4,4,4,4,4,1,1,1,0,3,0,0,0,1,2,2,1,2,1
3738203,3,2,2,1,19,30,19,0,0,1,5,5,5,5,1,1,6,6,5,5,1,2,2,1,2,2,2,9,9,1,9,9,9,1,1,1,1,1,1,1,1,9,1,1,1,1,3,3,3,1,1,3,3,3,1,1,1,0,25,2,3,2,1,1,3,2,1,1,1
1391207,3,2,2,1,35,13,35,0,0,1,0,0,49,49,0,0,3,3,0,52,1,2,2,1,2,2,2,9,9,1,9,9,9,1,1,1,2,1,1,1,1,9,1,1,1,1,4,4,4,4,4,4,2,4,4,1,1,0,58,10,0,0,0,0,1,1,1,2,1
